Q19319226,3
Q19610143,6
Q21716265,1
Q26720531,3
Q175077,24
Q325283,8
Q334750,12
Q363967,5
Q373620,7
Q450330,4
Q458982,10
Q464928,7
Q474845,3
Q502902,4
Q524957,3
Q625703,3
Q632554,3
Q644852,10
Q675872,7
Q853855,4
Q860102,3
Q913482,7
Q950075,7
Q989760,3
Q1002223,7
Q1053330,10
Q1068292,4
Q1141213,6
Q1151168,6
Q1198153,3
Q1213577,4
Q1213846,3
Q1408715,7
Q1856030,3
Q1998865,2
Q2152729,4
Q2526986,4
Q2601750,3
Q2642928,6
Q2704365,3
Q2731931,4
Q18153036,8
Q18669965,3
Q2905261,2
Q3008321,7
Q3121563,3
Q3213021,3
Q3226602,3
Q3480545,3
Q3649113,2
Q3656893,2
Q3998824,5
Q4069404,8
Q4404357,5
Q4463782,4
Q4571857,1
Q4657305,1
Q4769579,4
Q4773128,3
Q4898254,1
Q5000970,2
Q5049286,1
Q5157615,1
Q6536298,1
Q7004501,4
Q7115573,1
Q7162798,1
Q7195124,1
Q7561118,3
Q7666221,23
Q7721753,2
Q7727861,13
Q16325203,6
Q16385100,6
Q16932653,1
Q16934308,1
Q17147603,2
